insee;nom;altitude;code_postal;longitude;latitude;pop99;surface;departement;region;indicatif
65233;Jarret;480;65100;-0.00024240877666364;0.75194120351791;219;4.43;65;MP;5
65234;Jézeau;800;65240;0.0066613455891151;0.74875592969612;107;12.32;65;MP;5
65235;Juillan;328;65290;0.00042179370959152;0.75401613890223;3506;8.51;65;MP;5
65236;Julos;540;65100;9.697049203562E-005;0.75261991012172;241;5.93;65;MP;5
65237;Juncalas;482;65100;9.697049203562E-005;0.75141269919959;193;3.45;65;MP;5
65238;Labassère;823;65200;0.0016968440116656;0.75150484457332;235;10.11;65;MP;5
65239;Labastide;542;65130;0.0061425815744163;0.7511073012016;161;5.68;65;MP;5
65240;Labatut-Rivière;160;65700;0.00057693600935136;0.75967881832807;360;12.91;65;MP;5
65241;Laborde;510;65130;0.0052650824788028;0.75107334589769;109;1.84;65;MP;5
65242;Lacassagne;250;65140;0.002608289828725;0.75671658424756;175;6.57;65;MP;5
65243;Lafitole;220;65700;0.0012653636712855;0.7582291931677;377;8.84;65;MP;5
65244;Lagarde;260;65320;0.00057693600935136;0.75583907266838;454;4.88;65;MP;5
65245;Lagrange;580;65300;0.0061328948460999;0.75271198891642;217;3.62;65;MP;5
65247;Arrayou-Lahitte;500;65100;0.0007126702951022;0.75209147238243;93;4.82;65;MP;5
65248;Lahitte-Toupière;280;65700;-0.00028118998723132;0.75841827760511;184;5.73;65;MP;5
65249;Lalanne;380;65230;0.010098667322283;0.75516036606459;64;6.48;65;MP;5
65250;Lalanne-Trie;310;65220;0.0059098769510492;0.75591663723514;109;5.06;65;MP;5
65251;Laloubère;330;65310;0.001245973049747;0.75405495447512;1352;4.04;65;MP;5
65252;Lamarque-Pontacq;369;65380;-0.0020265192977423;0.75360894157155;645;10.77;65;MP;5
65253;Lamarque-Rustaing;300;65220;0.0051681116860564;0.75531549519808;53;2.78;65;MP;5
65254;Laméac;195;65140;0.0040045531991115;0.75629966637891;133;5.25;65;MP;5
